,ProgramID,month,day,year,Program Title,Program Series,Program Type Keys,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal)
210,092718-PS,09,27,2018,Science in Film: Lessons from the Movie Armageddon,PS,1,"Film Row Cinema, Columbia",2,52,77,2,1,0
211,100218-SS,10,02,2018,Conversations for Science,SS,3,Galway Arms,1.5,6,0,2,0,1
212,101018-TEI,10,10,2018,"Snapchat, Symphonies, and Synapses",TEI,3,Motor Row Brewing,1.5,42,0,0,1,0
213,110818-LS,11,08,2018,What Makes Us Human?,LS,1,Lincoln Park Zoo,1.5,135,0,1,0,1
214,110918-LS,11,09,2018,Rise of the Warrior Apes,LS,1,"Film Row Cinema, Columbia",2,73,0,1,0,1
215,111218-TEI,11,12,2018,Darsh Wasan Lecture Booth,TEI,4,IIT Hermann Hall,1,28,0,0,1,0
216,112818-CEE,11,28,2018,Indigenous Science,CEE,1,Chicago Cultural Center - Preston Bradley Hall,2,239,0,2,1,3
217,120518-CEE,12,05,2018,Food Evolution,CEE,1,"Film Row Cinema, Columbia",2.5,95,33,2,3,0
218,121218-HW,12,12,2018,"Bionics, Robotics, and the Future of Rehabilitation",HW,2,Shirley Ryan AbilityLab,2.5,77,33,2,2,2
219,020619-TEI,02,06,2019,Array of Things,TEI,1,Harold Washington Library,2,67,77,1,1,0
220,022019-HW,02,20,2019,"Mindfulness, Meditation, and Yoga",HW,1,Jefferson Park,2,29,0,0,1,0
221,022719-CEE,02,27,2019,WISER 2019 Lecture: New Directions in Strategic Energy Analysis,CEE,1,"Perlstein Hall, IIT",1.5,96,0,1,0,0
222,022819-LS,02,28,2019,"Resilience, Empathy, Plasticity: Women in Neuroscience",LS,1,"McGowan South, DePaul ",2,141,124,0,4,0
223,031219-LS,03,12,2019,Chicago Brain Buddies,LS,1,Theater Wit,1.5,27,0,1,2,1
224,032119-SS,03,21,2019,How Sexual Harassment Culture Infects Academia,SS,1,"Hughes Auditorium, NU",2,35,49,0,3,2
225,033119-SS,03,31,2019,Symphony for our World Booth,SS,4,Auditorium Theater,1,25,0,0,1,0
226,040319-PS,04,03,2019,The Science of Star Wars,PS,1,Harold Washington Library,1.5,160,198,1,0,0
227,040919-PS,04,09,2019,The LHC: From dark matter particles to extra dimensions,PS,1,Alliance Francais,1.5,67,0,1,0,0
228,041719-CEE,04,17,2019,How Trees Can Help the World: Re-treeing Communities and Making the World a Cooler Place to Live,CEE,1,Morton Ginko Hall,2,175,0,4,2,0
229,042619-SS,04,26,2019,Speaking at Depaul Neuro Class,SS,4,"McGowan North, DePaul ",1,25,0,0,1,0
230,050919-HW,05,09,2019,Food for Thought,HW,1,Ping Tom Memorial Park,1.5,40,0,0,1,0
231,051119-SS,05,11,2019,SPOT Workshop,SS,4,"Pancoe Hall, Northwestern",1,11,0,1,4,0
232,051619-LS,05,16,2019,The Long and Short of Proteomics,LS,3,Emporium Wicker Park,1.5,33,0,2,0,0
233,053019-LS,05,30,2019,Lurie Prize Winner Lijian James Chen,LS,2,"Prentice Women's Hospital, Room L",2,78,52,2,0,1
234,061119-CEE,06,11,2019,Does Recycling Still Matter?,CEE,1,Harold Washington Library,1.5,140,187,2,2,1
235,072319-LS,07,23,2019,Wild City: The Animals That Live Among Us,LS,1,"UIC, Illinois B",1,81,0,1,0,0
236,082219-SS,08,22,2019,NUPA/CGSA Careers Symposium,SS,4,"Potocsnak Atrium, Northwestern",2,30,0,0,1,0
237,082719-HW,08,27,2019,Tea or Coffee: It Might Depend On Your Genes,HW,3,Osmium Coffee Bar,1.5,54,0,0,1,0
238,091119-LS,09,11,2019,Urban Nature Walk,LS,5,Northerly Island Park,1.5,45,0,0,1,0
239,091319-SS,09,13,2019,UIC PDA Career Development Symposium,SS,4,"Student Center East, UIC",1,22,0,1,2,0
240,092519-PS,09,25,2019,Leon Lederman Memorial,PS,2,Harold Washington Library,2,152,87,8,8,7
241,092619-LS,09,26,2019,Talking Trees - Morton,LS,1,Morton Thornhill,1.5,220,0,2,0,0
242,100519-HW,10,05,2019,Filtering the Facts of Kidney Health,HW,5,Washington Fieldhouse,1,14,0,0,1,1
243,101619-LS,10,16,2019,The Earliest Child,LS,1,Harold Washington Library,1.5,124,346,1,0,1
244,101719-SS,10,17,2019,How to Communicate Facts in the Era of Fake News,SS,4,Metis,2,40,0,1,3,0
245,110119-PS,11,01,2019,A Universe of Surprises,PS,3,Dark Matter Lab,1.5,27,0,1,1,0
246,111319-TEI,11,13,2019,CSI TECH: The Technology of Crime-Solving,TEI,1,mHub,1.5,52,0,3,1,1
247,112119-SS,11,21,2019,The Art of Logic,SS,1,Harold Washington Library,1.5,129,100,0,1,1
248,120619-SS,12,06,2019,The Case of Including Every(Body),SS,1,1871,2,19,52,0,3,0
249,121019-HW,12,10,2019,How Psychotherapy Can Help Everyone,HW,1,Harrison Park Fieldhouse,1.5,12,0,0,1,0
250,012720-SS,01,27,2020,We Believe in Dinosaurs,SS,1,Gene Siskel Film Center,2.5,149,0,1,3,0
251,012920-SS,01,29,2020,UIC Leadership and Service Booth,SS,4,UIC Student Center East,2.5,33,0,0,2,1
252,012920-CEE,01,29,2020,Cliff Dwellers - Human Environment Interaction in Amazonia,CEE,1,Cliff Dwellers,1.5,70,0,0,1,0
253,022220-SS,02,22,2020,Many Pathways,SS,5,Dvorak Park,3.5,33,0,3,3,6
254,022920-SS,02,29,2020,C2E2 Science of Star Wars,SS,1,C2E2,1,212,0,2,1,0
255,031020-SS,03,10,2020,CWISI,SS,4,Northwestern Prentice Hospital,0,52,0,0,2,1
256,040720-HW,04,07,2020,SFTF:Perceptions and Public Understanding of COVID-19,HW,1,Facebook Live,1,0,135,0,1,0
257,040920-HW,04,09,2020,SFTF:Fighting COVID-19!,HW,1,Facebook Live,1,0,157,0,1,0
258,041620-TEI,04,16,2020,SFTF:3D Printing PPE,TEI,1,Facebook Live,1,0,176,1,0,0
259,042820-HW,04,28,2020,SFTF:Sir Run Run Shaw Hospital Program,HW,1,Website (recorded - embedded link),1,0,22,5,5,10
260,050720-SS,05,07,2020,SFTF:Racial Disparity in COVID-19 Panel,SS,1,Facebook Live,1,0,199,1,3,4
261,052020-SS,05,20,2020,SFTF:Gender Disparity in COVID-19 Cases,SS,1,Facebook Live,1,0,68,0,1,0
262,052620-SS,05,26,2020,SFTF:Sanitizer and Spirits ,SS,1,Facebook Live & YouTube,1,0,187,0,1,0
263,060220-LS,06,02,2020,SFTF: Virus Entry,LS,1,Facebook Live & YouTube,1,0,169,0,1,0
264,061720-PS,06,17,2020,"Art, Science, and the Elegant Universe",PS,1,Facebook Live & Youtube ,1,0,301,0,2,0
265,062520-TEI,06,25,2020,Forensic Genomic Technologies: New Frontiers Bring New Considerations,TEI,1,Facebook Live & Youtube ,1,0,171,0,1,0
266,063020-SS,06,30,2020,An Evening into the Multiverse,SS,1,Facebook Live & YouTube,1,0,198,1,1,2
267,070220-PS,07,02,2020,Neutrino 2020 Physics Slam,PS,1,Facebook Live & YouTube,1,0,341,2,2,1
268,070920-TEI,07,09,2020,SFTF: Engineering at the Service of Humanity,TEI,1,Facebook Live & YouTube,1,0,109,1,0,1
269,072120-TEI,07,21,2020,3D Printing in Action: An Introduction to Digital Fabrication,TEI,1,Facebook Live & YouTube,1,0,117,0,1,0
270,080520-HW,08,05,2020,Mindfully Coping: Strategies for Children and Families During a Pandemic,HW,1,Facebook Live & YouTube,1,0,105,1,0,1
271,082020-LS,08,20,2020,The Study of Ancient DNA: Knowledge from Unexpected Sources,LS,1,Facebook Live & YouTube,1,0,114,1,1,1
272,082720-LS,08,27,2020,Lessons in Biology Taught by a Pathogen,LS,1,Facebook Live & YouTube,1,0,107,1,0,0
273,090120-SS,09,01,2020,UIC Involvement Fair,SS,1,Booth,0,0,24,0,2,0
274,092420-LS,09,24,2020,The Power of Genomics: Optimzing Health Outcomes & Wildlife Conservation,LS,1,Facebook Live & YouTube,1,0,88,1,0,0
275,101220-HW,10,12,2020,Deploying SHIELD: To Illinois and Beyond,HW,1,Facebook Live & YouTube,1,0,125,2,0,0
276,050508-CEE,05,05,2008,Energy Colloquium (Day 1),CEE,1,Exelon/Co-Sponsor,1.5,60,0,0,0,0
277,050708-CEE,05,07,2008,Energy Colloquium (Day 2),CEE,1,Exelon/Co-Sponsor,1.5,60,0,0,0,0
