ProgramID,month,day,year,Program Title,program_type_id,fb_post,yt_video,Venue,Hours,Attendance (in seats),Live Stream,Male Speakers,Female Speakers,People of Color (informal),program_series_id
02202019_HW,2,20,2019,"Mindfulness, Meditation, and Yoga",1,,,Jefferson Park,2,29,0,0,1,0,5
02272019_CEE,2,27,2019,WISER 2019 Lecture: New Directions in Strategic Energy Analysis,1,,,"Perlstein Hall, IIT",1.5,96,0,1,0,0,3
02282019_LS,2,28,2019,"Resilience, Empathy, Plasticity: Women in Neuroscience",1,,,"McGowan South, DePaul ",2,141,124,0,4,0,4
03122019_LS,3,12,2019,Chicago Brain Buddies,1,,,Theater Wit,1.5,27,0,1,2,1,4
03212019_SS,3,21,2019,How Sexual Harassment Culture Infects Academia,1,,,"Hughes Auditorium, NU",2,35,49,0,3,2,2
03312019_SS,3,31,2019,Symphony for our World Booth,4,,,Auditorium Theater,1,25,0,0,1,0,2
04032019_PS,4,3,2019,The Science of Star Wars,1,,,Harold Washington Library,1.5,160,198,1,0,0,1
04092019_PS,4,9,2019,The LHC: From dark matter particles to extra dimensions,1,,,Alliance Francais,1.5,67,0,1,0,0,1
04172019_CEE,4,17,2019,How Trees Can Help the World: Re-treeing Communities and Making the World a Cooler Place to Live,1,,,Morton Ginko Hall,2,175,0,4,2,0,3
04262019_SS,4,26,2019,Speaking at Depaul Neuro Class,4,,,"McGowan North, DePaul ",1,25,0,0,1,0,2
05092019_HW,5,9,2019,Food for Thought,1,,,Ping Tom Memorial Park,1.5,40,0,0,1,0,5
05112019_SS,5,11,2019,SPOT Workshop,4,,,"Pancoe Hall, Northwestern",1,11,0,1,4,0,2
05162019_LS,5,16,2019,The Long and Short of Proteomics,3,,,Emporium Wicker Park,1.5,33,0,2,0,0,4
05302019_LS,5,30,2019,Lurie Prize Winner Lijian James Chen,2,,,"Prentice Women's Hospital, Room L",2,78,52,2,0,1,4
06112019_CEE,6,11,2019,Does Recycling Still Matter?,1,,,Harold Washington Library,1.5,140,187,2,2,1,3
07232019_LS,7,23,2019,Wild City: The Animals That Live Among Us,1,,,"UIC, Illinois B",1,81,0,1,0,0,4
08222019_SS,8,22,2019,NUPA/CGSA Careers Symposium,4,,,"Potocsnak Atrium, Northwestern",2,30,0,0,1,0,2
08272019_HW,8,27,2019,Tea or Coffee: It Might Depend On Your Genes,3,,,Osmium Coffee Bar,1.5,54,0,0,1,0,5
09112019_LS,9,11,2019,Urban Nature Walk,5,,,Northerly Island Park,1.5,45,0,0,1,0,4
09132019_SS,9,13,2019,UIC PDA Career Development Symposium,4,,,"Student Center East, UIC",1,22,0,1,2,0,2
09252019_PS,9,25,2019,Leon Lederman Memorial,2,,,Harold Washington Library,2,152,87,8,8,7,1
09262019_LS,9,26,2019,Talking Trees - Morton,1,,,Morton Thornhill,1.5,220,0,2,0,0,4
10052019_HW,10,5,2019,Filtering the Facts of Kidney Health,5,,,Washington Fieldhouse,1,14,0,0,1,1,5
10162019_LS,10,16,2019,The Earliest Child,1,,,Harold Washington Library,1.5,124,346,1,0,1,4
10172019_SS,10,17,2019,How to Communicate Facts in the Era of Fake News,4,,,Metis,2,40,0,1,3,0,2
11012019_PS,11,1,2019,A Universe of Surprises,3,,,Dark Matter Lab,1.5,27,0,1,1,0,1
11132019_TEI,11,13,2019,CSI TECH: The Technology of Crime-Solving,1,,,mHub,1.5,52,0,3,1,1,6
11212019_SS,11,21,2019,The Art of Logic,1,,,Harold Washington Library,1.5,129,100,0,1,1,2
12062019_SS,12,6,2019,The Case of Including Every(Body),1,,,1871,2,19,52,0,3,0,2
12102019_HW,12,10,2019,How Psychotherapy Can Help Everyone,1,,,Harrison Park Fieldhouse,1.5,12,0,0,1,0,5
01272020_SS,1,27,2020,We Believe in Dinosaurs,1,,,Gene Siskel Film Center,2.5,149,0,1,3,0,2
01292020_SS,1,29,2020,UIC Leadership and Service Booth,4,,,UIC Student Center East,2.5,33,0,0,2,1,2
01292020_CEE,1,29,2020,Cliff Dwellers - Human Environment Interaction in Amazonia,1,,,Cliff Dwellers,1.5,70,0,0,1,0,3
02222020_SS,2,22,2020,Many Pathways,5,,,Dvorak Park,3.5,33,0,3,3,6,2
02292020_SS,2,29,2020,C2E2 Science of Star Wars,1,,,C2E2,1,212,0,2,1,0,2
03102020_SS,3,10,2020,CWISI,4,,,Northwestern Prentice Hospital,0,52,0,0,2,1,2
04072020_HW,4,7,2020,SFTF:Perceptions and Public Understanding of COVID-19,1,,,Facebook Live,1,0,135,0,1,0,5
04092020_HW,4,9,2020,SFTF:Fighting COVID-19!,1,,,Facebook Live,1,0,157,0,1,0,5
04162020_TEI,4,16,2020,SFTF:3D Printing PPE,1,,,Facebook Live,1,0,176,1,0,0,6
04282020_HW,4,28,2020,SFTF:Sir Run Run Shaw Hospital Program,1,,,Website (recorded - embedded link),1,0,22,5,5,10,5
05072020_SS,5,7,2020,SFTF:Racial Disparity in COVID-19 Panel,1,,,Facebook Live,1,0,199,1,3,4,2
05202020_SS,5,20,2020,SFTF:Gender Disparity in COVID-19 Cases,1,,,Facebook Live,1,0,68,0,1,0,2
05262020_SS,5,26,2020,SFTF:Sanitizer and Spirits,1,,,Facebook Live & YouTube,1,0,187,0,1,0,2
06022020_LS,6,2,2020,SFTF: Virus Entry,1,,,Facebook Live & YouTube,1,0,169,0,1,0,4
06172020_PS,6,17,2020,"Art, Science, and the Elegant Universe",1,,,Facebook Live & Youtube,1,0,301,0,2,0,1
06252020_TEI,6,25,2020,Forensic Genomic Technologies: New Frontiers Bring New Considerations,1,,,Facebook Live & Youtube,1,0,171,0,1,0,6
06302020_SS,6,30,2020,An Evening into the Multiverse,1,,,Facebook Live & YouTube,1,0,198,1,1,2,2
07022020_PS,7,2,2020,Neutrino 2020 Physics Slam,1,,,Facebook Live & YouTube,1,0,341,2,2,1,1
07092020_TEI,7,9,2020,SFTF: Engineering at the Service of Humanity,1,,,Facebook Live & YouTube,1,0,109,1,0,1,6
07212020_TEI,7,21,2020,3D Printing in Action: An Introduction to Digital Fabrication,1,,,Facebook Live & YouTube,1,0,117,0,1,0,6
08052020_HW,8,5,2020,Mindfully Coping: Strategies for Children and Families During a Pandemic,1,,,Facebook Live & YouTube,1,0,105,1,0,1,5
08202020_LS,8,20,2020,The Study of Ancient DNA: Knowledge from Unexpected Sources,1,,,Facebook Live & YouTube,1,0,114,1,1,1,4
08272020_LS,8,27,2020,Lessons in Biology Taught by a Pathogen,1,,,Facebook Live & YouTube,1,0,107,1,0,0,4
09012020_SS,9,1,2020,UIC Involvement Fair,1,,,Booth,0,0,24,0,2,0,2
09242020_LS,9,24,2020,The Power of Genomics: Optimzing Health Outcomes & Wildlife Conservation,1,,,Facebook Live & YouTube,1,0,88,1,0,0,4
10122020_HW,10,12,2020,Deploying SHIELD: To Illinois and Beyond,1,,,Facebook Live & YouTube,1,0,125,2,0,0,5
05052008_CEE,5,5,2008,Energy Colloquium (Day 1),1,,,Exelon/Co-Sponsor,1.5,60,0,0,0,0,3
05072008_CEE,5,7,2008,Energy Colloquium (Day 2),1,,,Exelon/Co-Sponsor,1.5,60,0,0,0,0,3
