in_programs_tbl,video_code,Video,video_title,month,day,year,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Y,08052011_SS,lMY-AOgXPew,Tesla,12,5,2011,5,0.0652,0,1309,0.23
N,12192015_U,vj_y-GvWc4c,Women in STEM: Connect 2015,12,19,2015,5,0.0211,0,509,0.59
N,03042019_U,CdcCjeiEtWg,"Mindfulness, Meditation, and Yoga, Q&A",3,4,2019,4,0.1374,0,478,0.21
N,09122012_U,CoDHab-SqGI,"Women in Science Symposium 2010: Building an Identity - April 17, 2010",9,12,2012,4,0.079,0,252,1.19
N,11072013_U,FCO7DksLF2A,"C2ST: Women in Science  Symposium: Building an Identity, 2010 Panel Discussion",11,7,2013,4,0.2105,0,793,0.5
N,03132013_U,odkjchmOBxY,The next Generation of Biomedical Research: Implications for the future of Health care - Mary,3,13,2013,4,0.2018,0,216,0.46
N,11072013_U,buYFbvPRvmM,C2ST: Women in Science Symposium: Building an Identity,11,7,2013,3,0.005,0,178,0
N,02102012_U,yWzHHz9xSoY,Policy of Obesity 12/1/11,2,10,2012,3,0.0321,0,223,0.45
N,11072013_U,BBDwDfETqk4,"The Landscape of Techpark Innovation - Kapila , David , Steve, John  and Jim",11,7,2013,2,0.0035,0,358,0.28
N,02242015_U,H3ZVLksBgg0,Chicago Council on Science and Technology Winter 2014 Highlights,2,24,2015,2,0.058,0,111,1.8
N,12102011_U,IYiw4PyLqTg,Chicago's Water: Protecting Our Precious Resource  10/13/11 - Debra Shore,12,10,2011,2,0.0004,0,467,0.21
N,08132015_U,Ozc_WGCcIGY,Chicago Council on Science and Technology Spring 2015 Highlights,8,13,2015,2,0.0726,0,166,1.2
N,11072013_U,PnQhLb6EvKw,C2ST: Science In The New Millenium 2008 - Alan Leshner,11,7,2013,2,0.0115,0,315,0.32
