in_programs_tbl,video_code,Video,video_title,month,day,year,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
N,04142014_U,qFnIGgGaA3I,Is This Safe to Eat? - Robert E. Brackett and Eric C. Larson,4,14,2014,62,4.6102,0,1883,0.69
N,03292014_U,tHeRyZ1Vlg0,"The Order of Crystallography January 22, 2014 - Keith Moffat, John Kallend",3,29,2014,62,1.9951,0,668,2.1
N,12092017_U,9JdfT6LRte4,Mathematics--It's as Easy as Pi Highlights,12,9,2017,61,1.6536,0,1218,1.64
N,11262014_U,PcQ68vTPXb4,"The Future of Work, Part 1 - Larry Birnbaum, Kris Hammond, Malcolm MacIver, and Joel Mokyr",11,26,2014,61,1.1246,1,1031,2.04
N,05082020_U,fqy1M47Pqeg,Science from the Frontlines:  Perceptions and Public Understanding of COVID-19 (Virtual Program),5,8,2020,61,4.2903,2,2050,1.37
N,03162018_U,_O4-KkucxQc,Investing in Science and Education: An Act of Faith; An Evening with John Rowe,3,16,2018,60,1.3329,0,1211,0.74
N,11192014_U,atEFHtvK3Ms,The Future of Work Highlight - Kris Hammond,11,19,2014,60,0.8889,0,683,1.17
N,01011970_U,E7GHdUTI-QY,"Science From The Frontlines: COVID-19 Control Measures in Zhejiang, China",1,1,1970,58,4.1032,0,21,0
N,10212018_U,rbTbWKGHQ5g,"Science Riot - Daniele Procissi, PhD",10,21,2018,56,2.6784,1,637,2.35
N,09102012_U,1uz_KAtg0rE,Street Corner Science: Ask a Nobel Laureate - Laureate Leon Landerman,9,10,2012,55,12.5182,0,1485,1.95
N,02082019_U,2WJca5QFhHg,STEM Ask & Learn January 2019,2,8,2019,55,0.258,0,413,2.42
N,03032019_U,7dt9NJyGAVc,"Resilience, Empathy, Plasticity Women in Neuroscience",3,3,2019,55,6.1974,0,1368,1.61
N,08242018_U,TMoCSOEP1mQ,"Sleep and Clocks, Windows to Health, Highlights",8,24,2018,55,1.4122,1,801,2.25
Y,11172016_CEE,X8WyYNXgTp8,Climate Change and Energy Needs: Finding a Path to Sustainability,12,14,2016,55,13.9086,0,684,2.05
N,05082019_U,6BIQo9pOx2M,STEM Ask & Learn May 2019,5,8,2019,54,0.7751,0,448,2.46
N,05012019_U,vW3KL97bGUw,"How Trees Can Help the World: Re-treeing Communities and Making the World a Cooler Place to Live, #1",5,1,2019,54,1.6162,1,686,1.46
N,11112014_U,xCR_jC6kEzw,"ChicaGO Science - Debra Shore, C2ST, and HDMZ (Water: Chicago in the 21st Century and Beyond)",11,11,2014,54,1.0867,0,1272,0.79
N,12092011_U,uJ7Pcd5_3vA,"Storing Alternative Energies - Mohammad Shahidehpour, Micheal R. Wasielewski and Jeff Chamberlain",12,9,2011,53,2.0595,0,814,2.09
N,03312018_U,K_8PbTtF9e4,Personalized Medicine - One size does not fit all! Highlights,3,31,2018,51,2.8317,0,825,1.45
N,09042020_U,1dkjVjmKoHA,Virus Entry into Cells Highlights (SFTFL),9,4,2020,50,0.1702,4,703,4.55
N,10122018_U,TLZrkZDnwPM,Head Banging: How Music and Concussions Impact Brain Health,10,12,2018,50,2.651,0,937,1.92
N,10012018_U,Sk3xTxaQXDI,Head Banging: How Music and Concussions Impact Brain Health,10,1,2018,20,0.2399,0,123,4.88
N,10152018_U,HiMC5z0WrU8,Science Riot - Abhinav Bhushan,10,15,2018,49,1.3998,0,1224,2.37
Y,02202019_HW,MbHjnaq9SCk,"Mindfulness, Meditation, and Yoga",3,4,2019,49,7.3993,1,946,1.16
N,11192014_U,8qZVvcJc_Wc,Decoding the New Science and Math Standards Highlight - Lynn Narasimhan,11,19,2014,48,0.5769,0,793,0.76
N,04272018_U,Gv62bexrPaY,The Future of Trees Hope in a Changing Climate Highlights,4,27,2018,48,1.1281,1,1183,1.18
N,12102014_U,00bU4j8L_6Q,"Science + Cinema: New Screen Frontiers - Peggy Mason, John A Kessler, and Mark Oreglia",12,10,2014,47,2.154,0,1425,1.82
N,12052011_U,r-rQ0ND0GTk,Seth Mnookin Panic Virus MSI Lecture,12,5,2011,47,4.6086,0,1623,1.42
N,01032019_U,Ixy_Ib87nqI,"Bionics, Robotics, and the Future of Rehabilitation from the Shirley Ryan AbilityLab, Q&A",1,3,2019,46,0.892,0,927,2.05
N,05152020_U,XeMYfUbjkS4,Science from the Front-lines Racial Disparity in COVID 19 Cases (Virtual Program),5,15,2020,46,4.5949,0,2471,0.77
N,02152015_U,n6t7JCUsdvk,"Water: Chicago in the 21st Century and Beyond - Debra Shore, Aaron Packman, and Seth Snyder",2,15,2015,44,8.9617,0,1308,0.92
N,05102020_U,p1oBhDvcObQ,Science from the Frontlines: Fighting COVID-19(Virtual Program),5,10,2020,44,3.0224,0,2811,0.82
N,02242015_U,yRvvdKLQz5w,"Water: Chicago in the 21st Century and Beyond Highlights - Debra Shore, Aaron Packman, & Seth Snyder",2,24,2015,44,0.9453,0,900,0.33
Y,11132017_SS,p_3GDBkw3H4,Unconscious Bias,11,28,2017,42,5.7522,0,1224,0.82
Y,11132017_SS,p_3GDBkw3H4,Unconscious Bias,11,28,2017,42,5.7522,0,1224,0.82
Y,11132017_SS,1Pwlog7ZtLU,Unconscious Bias,11,20,2017,21,2.5323,0,9,0
Y,11132017_SS,1Pwlog7ZtLU,Unconscious Bias,11,20,2017,21,2.5323,0,9,0
N,04202015_U,shtDx8nuJsw,"Music - There's a Science to That Highlights - Nicolas Collins, Doug McBride, & Torin Hopkins",4,20,2015,41,1.2842,0,793,0.63
N,05202015_U,2j1yAilJbcg,"When Playing Sports is Bad For Your Brain - Dorothy Kozlowski, Jeffrey Mjaanes, and Peggy Mason",5,20,2015,40,2.0422,0,1163,0.69
N,02232017_U,VX3EfOoYjeI,Why in the World Haven’t We Cured Alzheimer’s by Now?,2,23,2017,40,1.2529,0,1041,1.15
N,05282020_U,J-Y7GGIugL0,Science From the Front-lines Gender Disparity in COVID 19 Cases (Virtual Program),5,28,2020,38,4.1395,0,2550,0.59
N,08132012_U,Iunad9WaGi4,Women in Science Symposium: Big Ideas and Big Impact - Melissa Gilliam,8,13,2012,37,1.5702,0,1020,1.27
N,11072013_U,D8RzWk2AXWA,"C2ST: Women in Science Symposium : Building an Identity, 2010 Keynote",11,7,2013,36,1.1573,0,488,3.48
N,12282019_U,KSXBZGio1oQ,Program Q&A: The Case for Including Every(Body),12,28,2019,35,1.5281,0,833,2.16
N,03012019_U,nTmd2sRRQsA,STEM Ask & Learn March 2019,3,1,2019,35,0.2783,0,477,2.52
N,05052015_U,3widWzQesyI,"The Threat of Superbugs Highlights - R.A. Weinstein, R.S. Daum, S. Franzblau, and M. Federle",5,5,2015,34,0.9232,0,1219,0.74
N,06022020_U,UWmOjaDJWbE,Science From The Frontlines: Virus Entry into Cells,6,2,2020,34,1.9091,0,1971,0.76
N,11122013_U,T4kpN936RH0,The Price of Doing Nothing: The World's Energy Future Highlights - George  Crabtree,11,12,2013,33,0.4802,0,1003,0.7
N,03282019_U,UbO_CSzaVaU,"How Sexual Harassment Culture Infects Academia, Highlights",3,28,2019,33,1.3071,0,1413,1.06
N,10242019_U,fgW0hJnCXZ4,"Program Q&A: Trailblazer of Physics: The Extraordinary Life of Leon Lederman, Ask A Physicist Panel",10,24,2019,33,1.7933,0,853,1.64
N,04112019_U,tjYjR65k1JM,The Science of Star Wars Highlights,4,11,2019,33,0.6491,0,711,1.69
N,11112019_U,wt8Ra8OKyFE,STEM Ask & Learn 2 November 2019,11,11,2019,33,0.3095,0,490,2.24
N,12102014_U,ytKPHAMhphE,2014 Women in STEM: Connect Highlight  - Carolyn Phillips,12,10,2014,33,0.2032,0,773,0.39
N,10172019_U,EC2aDXK_Bfs,Women in STEM Ask & Learn October 2019,10,17,2019,32,0.2313,0,572,1.75
N,12092011_U,VDueXquDTl4,Hubble's Story - John Grunsfeld,12,9,2011,32,0.4756,0,977,1.64
N,12052011_U,RfAlrZh7fs4,Cyber Security 02/17/2011 -Michael Skwarek and Jason DeHaan,12,5,2011,31,2.1449,0,221,3.17
N,09252015_U,ZE08Ne1SNh4,"#Asthma, #Comics & Metaphor w/ Dr. Alex Thomas",9,25,2015,31,0.6737,0,2893,0.62
N,11262014_U,kNpJDTlwMoY,"The Future of Work, Part 2 - Larry Birnbaum, Kris Hammond, Malcolm MacIver, and Joel Mokyr",11,26,2014,30,0.2351,0,844,1.07
N,10162018_U,8MLyI9o0-VY,Science Riot - Yeva Shan,10,16,2018,29,1.106,0,530,2.08
N,05302019_U,M1xkqIs8Kzs,STEM Ask & Learn June 2019,5,30,2019,29,0.2754,0,505,1.58
N,02032012_U,UdOdthMV_zE,"Gene Patenting: The  Economic Legal and Health Dilemma 11/10/2011- Philip, Rena , Robert",2,3,2012,29,1.9452,0,537,1.3
N,10202018_U,31OaBwb3C4M,Head Banging: How Music and Concussions Impact Brain Health: Q&A Session,10,20,2018,28,1.3004,0,729,1.65
N,11192014_U,63s02izCK84,Decoding the New Science and Math Standards Highlight - Michael Lach,11,19,2014,28,0.4533,0,717,0.28
N,10212018_U,COyYwFpklUU,Lessons from the Movie Armageddon Q&A,10,21,2018,28,1.7097,0,1696,1.06
N,05022012_U,DHJ5SHroEWw,"High-Speed Rail: The Midwest Moving Forward - Hani Mahmassani, Cristopher Barkan, Michael Franke",5,2,2012,28,0.378,1,1023,0.98
N,03032019_U,MJlGGJHovuM,"Resilience, Empathy, Plasticity Women in Neuroscience Q&A",3,3,2019,28,1.9625,0,916,1.53
N,12152017_U,_-EKpxcI2mo,"NYC Rat DNA  Uptown, Downtown, and Midtown",12,15,2017,28,0.9319,0,1321,0.61
N,10022018_U,r1K73owhNAc,Science in Film: Lessons from the Movie Armageddon Final,10,2,2018,28,1.9539,1,274,4.01
N,12102014_U,txHjY_plG4I,2014 Women in STEM: Connect Highlight  - Susan Hallen,12,10,2014,28,0.3659,0,737,0.27
N,03172019_U,vV45qkA54D8,Brain Buddies Live Podcast #1,3,17,2019,28,1.6388,0,571,2.45
N,05142020_U,1XtQ_n2FkdU,Science From The Frontlines: 3D Printing PPE (Virtual Program),5,14,2020,27,0.9657,0,1829,0.66
N,05232014_U,4t__usTp5dc,The Multiplication of Threats: Climate Change & the Risks to National Security - Stephen Cheney etc.,5,23,2014,26,1.412,0,593,2.02
N,04032016_U,6oR8TN1pQWk,Climate Disruption: What We Can Do Now Highlights,4,3,2016,26,0.3644,0,363,2.48
N,10252019_U,TbhLUBYwBSI,Program Q&A: The Earliest Child The Significance of “Selam”,10,25,2019,26,1.271,1,894,1.23
N,12092011_U,a_ju9rri2R8,"Science & Technology Policy: A view from Washington - Judy Biggert, Bill Foster and Leon Lederman",12,9,2011,26,6.8382,0,796,1.01
N,04022015_U,fVBDHebW0QA,"Music - There's a Science to That -  Nicolas Collins, Doug McBride, & Torin Hopkins",4,2,2015,26,3.3263,0,1128,0.44
N,03012019_U,wNHcvCL_lbs,New Directions in Strategic Energy Analysis,3,1,2019,26,3.1482,0,610,0.82
N,11182013_U,OPzQnnsKjUA,Out for the Sperm Count: Mysteries of a Declining Resource Highlights with Robert Martin,11,18,2013,25,0.609,0,3600,0.36
N,12092011_U,XTJcawXudlk,Policy-Heidi Schweingruber,12,9,2011,25,1.2306,0,295,3.05
N,03092016_U,_gSUJGZ-gOc,How We Treat Cancer Highlights,3,9,2016,25,0.8927,0,245,1.63
N,01302015_U,2US5yXAX9Fs,Presidents DON'T Age Faster Than The Rest of Us - S. Jay Olshansky and Aaron Freeman,1,30,2015,24,0.5865,0,423,0.95
N,12052019_U,GLbwpVblLb8,STEM Ask & Learn December 2019,12,5,2019,24,0.3026,0,451,1.55
N,12042017_U,ON2ANInJDiQ,New Developments In Mental Health Highlights,12,4,2017,24,0.5356,0,1170,0.26
N,07012020_U,s2jkrmUK6ow,An Evening Inside the Multiverse (Virtual Program),7,1,2020,24,1.4831,0,1795,0.5
N,05022019_U,AZqeB4W8R0A,"How Trees Can Help the World: Re-treeing Communities and Making the World a Cooler Place to Live, #2",5,2,2019,23,0.3021,-1,525,0.95
N,07252018_U,uZxmkCM9P_o,Extreme Storms Highlights,7,25,2018,23,0.2673,0,520,1.54
N,07312020_U,SNlYRbUzHro,Racial Disparities in Covid Highlights (SFTFL),7,31,2020,21,1.4202,0,373,1.07
Y,03222017_CEE,Uw0SwlQZv4c,Recent Advances in CO2 Storage Science and Technology,4,3,2017,21,1.28,0,703,1.56
Y,03212019_SS,wEx--Bz2HJQ,How Sexual Harassment Culture Infects Academia,3,27,2019,21,1.3641,0,1464,0.89
N,01302015_U,zSICrLBYjkI,How to be Healthy When You're Older - Elizabeth Brackett and Aaron Freeman,1,30,2015,21,0.7903,0,667,1.35
N,05152019_U,B87_R6701P0,"Food for Thought: Connections Between Nutrition and Brain Health, Program Q&A",5,15,2019,20,0.15,0,680,1.62
