Date,Program Title,Live Stream,YouTube Views,FB Views,Attendance (in seats),Hours,Program Series,Venue,Type of Program,Male Speakers,Female Speakers,People of Color (informal),# of Speakers,Partner/ event,Total Viewing,,,,,,
10/13/11,Chicago's Water,,,,86,1.5,CEE,Holiday Inn Chicago Mart Plaza,Original,3,2,,5,,86,,,,,,
11/13/11,Gene Patenting,,,,68,1.5,LS,NW Hughes Auditorium,Original,3,1,,4,,68,,,,,,
12/1/11,Science and Policy of Obesity,,,,80,1.5,HW,NW Hughes Auditorium,Original,2,5,,7,,80,,,,,,
1/19/12,Fracking,,,,77,1.5,CEE,NW Hughes Auditorium,Original,4,,,4,,77,,,,,,
1/31/12,Sustainable Energy,,,,81,1.5,CEE,IIT McCloska Auditorium,Original,1,,,1,,81,,,,,,
2/11/12,The Believers,,,,97,1.5,SS,Gene Siskel Film Center,Original,,,,,,97,,,,,,
2/23/12,Nanotechnology,,,,69,1.5,TEI,NW Hughes Auditorium,Original,2,,,2,,69,,,,,,
3/16/12,About Time,,,,53,1.5,PS,NW Hughes Auditorium,Original,1,,,1,,53,,,,,,
3/29/12,China's Clean Energy,,,,55,1.5,CEE,NW Hughes Auditorium,Original,2,,,2,,55,,,,,,
4/19/12,Oceans' Health,,,,52,1.5,LS,NW Hughes Auditorium,Original,2,1,,3,,52,,,,,,
5/1/12,CERN,,,,73,1.5,PS,Chicago Club,Original,1,,,1,,73,,,,,,
5/12/12,WiS 2012,,,,210,1.5,SS,NW Hughes Auditorium,Original,0,12,6,12,,210,,,,,,
9/15/12,Ask a Scientist at Argonne,,,,150,1.5,SS,Argonne National Laboratory,Original,3,1,,4,,150,,,,,,
9/20/12,America's Digital Tomorrow,,,,55,1.5,TEI,Flashpoint Media Academy,Original,1,,,1,,55,,,,,,
10/10/12,CSI: Picasso,,,,40,1.5,SS,IIT McCloska Auditorium,Original,,2,,2,,40,,,,,,
10/11/12,Exploring the Universe from the Bottom of the World,,,,95,1.5,PS,"School of the Art Institute, SAIC Ballroom",Original,1,,,1,,95,,,,,,
11/1/12,Networking,,,,65,1.5,SS,Peggy Notebart Nature Museum,Original,,,,,,65,,,,,,
11/8/12,"Evidence, Crime and the Law",,,,80,1.5,SS,NW Hughes Auditorium,Original,1,,,1,,80,,,,,,
12/4/12,Alzheimer's and Aging,,,,130,2,HW,NW Lincoln Room,Signature,1,3,,4,,130,,,,,,
1/25/13,"CP-1 Past, Present and Future of Nuclear Energy",43,,,86,1.5,CEE,NW Baldwin Auditorium,Original,3,,,3,,129,,,,,,
2/21/13,Bioluminescence,43,,,97,1.5,LS,McDermott Will and Emery,Original,1,,,1,,140,,,,,,
2/23/13,Ted X Windy City Contrast,43,,,750,1.5,SS,NW Thorne Auditorium ,Original,5,4,,9,Ted X,793,,,,,,
2/23/13,Hackathon MonkeyBars' Spring Build,43,,,150,1.5,TEI,IIT Technology Park,Original,,,,,MonkeyBars,193,,,,,,
3/7/13,"Spies, Satellites and Archaelogy",43,,,41,1.5,SS,Oriental Institute at University of Chicago,Original,1,,,1,,84,,,,,,
3/13/13,Music and the Brain,43,,,62,1.5,SS,NW Hughes Auditorium,Original,1,1,,2,,105,,,,,,
3/21/13,Economic Innovation,43,,,21,1.5,TEI,NW Lincoln Room,Original,2,,,1,,64,,,,,,
4/3/13,Chemical Innovations,132,,,28,1.5,TEI,NW Baldwin Auditorium,Original,1,,,,,160,,,,,,
8/1/13,Physics Baseball I,65,,,150,1.5,PS,US Cellular Field,Original,,,,1,,215,,,,,,
8/2/13,Physics Baseball II,,,,142,1.5,PS,US Cellular Field,Original,1,,,,,142,,,,,,
